Argumenty i fakty,AIF,0204-0476
Osnovnye makroekonomicheskie pokazateli stran Sodruzhestva Nezavisimykh Gosudarstv. Key Macroeconomic Indicators of the Commonwealth of Independent States,STATMAKSN,
Osnovnye pokazateli okhrany okruzhaiushchei sredy,STATOPOOS,
Platnoe obsluzhivanie naseleniia v Rossii,STATPLAT,
Potreblenie produktov pitaniia v domashnikh khoziaistvakh,STATPPDH,
Promyshlennoe proizvodstvo v Rossii,STATPROMRO,
Promyshlennost' v stranakh Sodruzhestva Nezavisimykh Gosudarstv.Industry in the Countries of the Commonwealth of Independent States,STATPRSNG,
Prosrochennaia zadolzhennost' po zarabotnoi plate,STATPZP,
Regional'naia statistika,STATRSU,
Regiony Rossii,STATREGRF,
Regiony Rossii. Osnovnye kharakteristiki sub'ektov Rossiiskoi Federatsii,STATOHSRF,
Regiony Rossii. Osnovnye sotsial'no-ekonomicheskie pokazateli gorodov,STATREGRUS,
Regiony Rossii. Sotsial'no-ekonomicheskie pokazateli,STATSEPRG,
Rossiia i strany - chleny Evropeiskogo soiuza,STATRSES,
Rossiia i strany mira,STATRSM,
Rossiia v tsifrakh,STATRVCRU,
Rossiiskii statisticheskii ezhegodnik,STATRSE,
Rossiiskii statisticheskii ezhegodnik. Prilozhenie,STATRSEP,
Russia,STATROSEN,
Rynki tovarov i uslug v stranakh Sodruzhestva Nezavisimykh Gosudarstv. Market goods and services in the countries of the Commonwealth of Independent States,STATRTUSNG,
Sel'skoe khoziaistvo v stranakh SNG i otdel'nykh stranakh mira 2015-2018: Kratkii statisticheskii sbornik. Agriculture in the CIS and other countries of the world 2015-2018: Concise statistical abstract,STATSEHSNG,
Sodruzhestvo Nezavisimykh Gosudarstv (kratkii sbornik predvaritel'nykh statisticheskikh itogov). Commonwealth of Independent States (digest of preliminary statistical results),STATSNGSPS,
Sodruzhestvo Nezavisimykh Gosudarstv (statisticheskii ezhegodnik). Commonwealth of Independent States (statistical yearbook),STATSNGSE,
Sotsial'naia sfera Rossii,STATCOTSF,
Sotsial'noe polozhenie i uroven' zhizni naseleniia Rossii,STATCPUZHN,
Sotsial'no-ekonomicheskie indikatory bednosti,STATSEIB,
Sotsial'no-ekonomicheskoe polozhenie Dal'nevostochnogo federal'nogo okruga,STATSEPDFO,
Sotsial'no-ekonomicheskoe polozhenie Iuzhnogo federal'nogo okruga,STATSEPUFO,
